score_total,score_pred,residuo,abs_residuo,pct_error
50,52.17367474971421,-2.173674749714209,2.173674749714209,4.347349499428418
33,31.559973598617347,1.440026401382653,1.440026401382653,4.363716367826221
49,48.89435073958785,0.10564926041215017,0.10564926041215017,0.21561073553500032
45,47.05194951208232,-2.0519495120823166,2.0519495120823166,4.55988780462737
46,44.64121240125221,1.3587875987477886,1.3587875987477886,2.953886084234323
39,37.50386574365864,1.4961342563413567,1.4961342563413567,3.8362416829265555
44,37.07896718445314,6.921032815546859,6.921032815546859,15.729620035333769
74,75.3044746938692,-1.3044746938691958,1.3044746938691958,1.7628036403637783
47,54.421863753119666,-7.421863753119666,7.421863753119666,15.791199474722696
30,29.845671422280738,0.15432857771926223,0.15432857771926223,0.5144285923975408
51,53.20963270320211,-2.209632703202111,2.209632703202111,4.332613143533551
40,42.22517192027051,-2.225171920270512,2.225171920270512,5.5629298006762795
33,34.82362245764051,-1.8236224576405107,1.8236224576405107,5.526128659516699
43,40.97344776752166,2.0265522324783376,2.0265522324783376,4.712912168554274
27,23.968748477271063,3.0312515227289367,3.0312515227289367,11.226857491588655
20,21.224752943521963,-1.2247529435219633,1.2247529435219633,6.1237647176098164
40,41.58489161772258,-1.5848916177225831,1.5848916177225831,3.9622290443064574
74,70.45385644749281,3.546143552507189,3.546143552507189,4.7920858817664715
47,48.35470989502136,-1.354709895021358,1.354709895021358,2.882361478768847
70,69.98033066482299,0.019669335177013636,0.019669335177013636,0.028099050252876623
57,52.863298654640495,4.136701345359505,4.136701345359505,7.257370781332464
22,26.80264372606005,-4.802643726060051,4.802643726060051,21.830198754818415
46,47.20705065974996,-1.2070506597499602,1.2070506597499602,2.6240231733694785
22,22.14184717212353,-0.14184717212352993,0.14184717212352993,0.6447598732887724
58,54.94908983254501,3.0509101674549868,3.0509101674549868,5.260189943887908
52,48.554194298747326,3.4458057012526737,3.4458057012526737,6.626549425485911
45,46.20670696301097,-1.2067069630109728,1.2067069630109728,2.6815710289132726
